timestamp,latitude,longitude,altitude,speed,heading,road_name,road_type,lanes,yaw_rate,hdop,pdop,lateral_acceleration,longitudinal_acceleration,accuracy
2025-07-11T04:57:08.761Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,0.7724027784575827,3.5874696736130707,0,0,40
2025-07-11T04:57:13.702Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,0.708224163084102,1.896013093178952,0,0,40
2025-07-11T04:57:18.703Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,0.5224545479148803,1.2737075407783462,0,0,40
2025-07-11T04:57:23.702Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,0.9280622223111104,2.254813460531425,0,0,40
2025-07-11T04:57:28.702Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,1.2931059345512885,2.7275459662037864,0,0,40
2025-07-11T04:57:33.702Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,1.1161353178428137,3.329342338944473,0,0,40
2025-07-11T04:57:38.711Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,0.8074300792296949,2.7624784201043404,0,0,40
2025-07-11T04:57:44.668Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,2.4787625427083877,1.0389861360026642,0,0,40
2025-07-11T04:57:49.664Z,12.935750610008421,77.53458104869759,0,0,0,Error,Error,Error,0,0.56601636890545,2.5158801443986816,0,0,40
2025-07-11T06:49:38.960Z,12.93609990809261,77.53423296972947,0,0,0,Error,Error,Error,0,2.184272069692306,2.315381569471745,0,0,89.66666666666667
2025-07-11T06:49:43.936Z,12.93609990809261,77.53423296972947,0,0,0,Error,Error,Error,0,1.1559765374655644,2.1114099241418627,0,0,89.66666666666667
2025-07-11T06:49:48.934Z,12.93609990809261,77.53423296972947,0,0,0,Error,Error,Error,0,1.2295680986864828,3.911366063251018,0,0,89.66666666666667
2025-07-11T06:49:53.935Z,12.93609990809261,77.53423296972947,0,0,0,Error,Error,Error,0,2.182340150717627,1.12613799758191,0,0,89.66666666666667
2025-07-11T06:49:58.934Z,12.93609990809261,77.53423296972947,0,0,0,Error,Error,Error,0,0.9123184012974741,2.631416104118194,0,0,89.66666666666667
2025-07-11T06:50:03.933Z,12.93609990809261,77.53423296972947,0,0,0,Error,Error,Error,0,1.198302751760174,1.6695018979174021,0,0,89.66666666666667
2025-07-13T23:55:25.665Z,12.928277483740965,77.62847135898707,0,0,0,Error,Error,Error,0,2.1040511828972974,1.0060386548590996,0,0,40
2025-07-14T01:28:11.174Z,12.928329254236933,77.6284574451413,0,0,0,Error,Error,Error,0,2.415116995226877,2.8809627067684986,0.03296276940597642,0.06841849167556643,35
2025-07-14T01:28:15.818Z,12.928329254236933,77.6284574451413,0,0,0,Error,Error,Error,0,1.125728494594476,2.8175428858934524,-0.06311269831711763,0.010131962624788271,35
2025-07-14T01:28:20.819Z,12.928329254236933,77.6284574451413,0,0,0,Error,Error,Error,0,1.9797709184126588,2.0433444184638017,-0.12896972866806056,0.025300731147209952,35
2025-07-14T01:28:25.816Z,12.928329254236933,77.6284574451413,0,0,0,Error,Error,Error,0,0.7232374357046896,1.4291091075796818,0.01575587599143019,-0.07512597667535241,35
2025-07-14T01:28:30.819Z,12.928329254236933,77.6284574451413,0,0,0,Error,Error,Error,0,1.2320465959120734,3.2311228496885738,0.1878680019831876,-0.06252106134122165,35
2025-07-14T01:28:35.821Z,12.928329254236933,77.6284574451413,0,0,0,Error,Error,Error,0,0.809759613085538,3.974944260897698,-0.20803518368921387,0.08575987974803859,35
2025-07-14T07:20:02.063Z,12.935941578082014,77.53370409056947,836.4483622326196,0,0,Error,Error,Error,425.4639765366184,1.0113301696481833,3.4602824193729944,-1.5880194470375988,3.62855175839363,76.69120524914588
2025-07-14T07:20:06.398Z,12.935827588533588,77.5343837882381,829.0858758396147,0,0,Error,Error,Error,14.985545946089474,2.2001747612931872,1.3639551343658187,-0.08209476062195388,-0.05607212427726335,63.06126026767292
2025-07-14T07:20:11.398Z,12.935990026071536,77.53455816325656,837.9440188666528,0,0,Error,Error,Error,-8.45805451917529,0.7071356951193151,1.6101940833090174,-0.21786684488993474,-0.6675424021198039,76.99822783616301
2025-07-14T07:20:16.406Z,12.9359539134854,77.53460881551895,837.8591682503647,0,0,Error,Error,Error,-11.557381877711492,2.093309889923292,1.8535810019289718,0.10444125851257405,-0.822884851636082,73.70849066233781
2025-07-14T07:20:21.473Z,12.935821157162236,77.5343688661407,845.0800170898438,0,0,Error,Error,Error,-6.241225391443763,0.6245961943198943,1.573103940927202,0.10361756528086892,-0.7743327712848646,310.3333328839792
